timestamp,Non-Renewable,Renewable,price
2025-01-09T08:00+01:00,35096.70409,20380.91083,164.88
2025-01-09T09:00+01:00,35585.66159,22431.05688,156.15
2025-01-09T10:00+01:00,35095.02951,24426.09373,147.64
2025-01-09T11:00+01:00,34850.21842,26157.73442,140.21
2025-01-09T12:00+01:00,34138.11581,25296.64906,128.18
2025-01-09T13:00+01:00,34113.73114,24871.40731,121.15
2025-01-09T14:00+01:00,33924.33577,24448.02629,123.95
2025-01-09T15:00+01:00,33550.11545,25448.78132,127.53
2025-01-09T16:00+01:00,33214.69484,28433.1237,123.75
2025-01-09T17:00+01:00,33385.57735,31009.98115,130.91
2025-01-09T18:00+01:00,33698.03548,33157.20587,134.75
2025-01-09T19:00+01:00,33061.4516,34588.73854,125.44
2025-01-09T20:00+01:00,30366.74127,35269.53129,119.23
2025-01-09T21:00+01:00,27665.67479,35730.46857,104.99
2025-01-09T22:00+01:00,26794.24494,35605.87785,101.1
2025-01-09T23:00+01:00,25250.45034,36109.71706,88.19
2025-01-10T00:00+01:00,22502.71488,37328.52897,84.79
2025-01-10T01:00+01:00,20959.87657,38416.25373,80.23
2025-01-10T02:00+01:00,19804.10169,38833.00837,71.29
2025-01-10T03:00+01:00,19075.80677,38268.00801,69.05
2025-01-10T04:00+01:00,20739.1489,37426.42463,69.89
2025-01-10T05:00+01:00,22840.8667,36631.83198,83.9
2025-01-10T06:00+01:00,26771.75727,37406.78017,99.09
2025-01-10T07:00+01:00,29538.79937,36463.80847,123.92
2025-01-10T08:00+01:00,30300.66653,36152.75462,139.47
2025-01-10T09:00+01:00,30458.38069,36721.62587,136.92
2025-01-10T10:00+01:00,30132.02172,38104.50856,123.57
2025-01-10T11:00+01:00,29915.13554,38602.62063,113.59
2025-01-10T12:00+01:00,29409.73376,38726.00412,107.43
2025-01-10T13:00+01:00,28495.06679,38247.06485,105.01
2025-01-10T14:00+01:00,28951.88582,35513.32171,110.01
2025-01-10T15:00+01:00,30102.52767,31748.02323,128.69
2025-01-10T16:00+01:00,30846.46274,29898.62413,134.87
2025-01-10T17:00+01:00,30969.36758,29845.64664,142.56
2025-01-10T18:00+01:00,30958.05087,30223.30441,144.12
2025-01-10T19:00+01:00,30537.67884,29163.62629,141.05
2025-01-10T20:00+01:00,30241.97392,27978.01758,134.82
2025-01-10T21:00+01:00,29897.91516,27329.15586,122.51
2025-01-10T22:00+01:00,28574.15015,25998.13652,119.77
2025-01-10T23:00+01:00,26889.8726,25111.95116,111.71
2025-01-11T00:00+01:00,24979.18254,24148.59381,106.64
2025-01-11T01:00+01:00,24697.99337,24594.30046,98.99
2025-01-11T02:00+01:00,23839.27505,25353.5401,95.71
2025-01-11T03:00+01:00,23154.93901,25819.19544,89.45
2025-01-11T04:00+01:00,23015.14635,26401.94754,88.35
2025-01-11T05:00+01:00,23879.69805,26455.42096,88.4
2025-01-11T06:00+01:00,24671.7365,27704.14475,88.13
2025-01-11T07:00+01:00,25291.08647,28822.09071,94.68
2025-01-11T08:00+01:00,25625.90895,30449.44139,107.65
2025-01-11T09:00+01:00,26634.14119,32771.68488,103.14
2025-01-11T10:00+01:00,27110.22429,36126.83219,101.13
2025-01-11T11:00+01:00,26874.04086,38972.81771,99.56
2025-01-11T12:00+01:00,26674.18493,39249.10144,96.74
2025-01-11T13:00+01:00,27336.88205,38846.57714,93.15
2025-01-11T14:00+01:00,27959.6028,37912.74547,94.9
2025-01-11T15:00+01:00,28275.90559,36603.26607,104.89
2025-01-11T16:00+01:00,28325.41121,36708.85323,112.12
2025-01-11T17:00+01:00,27717.14459,37704.04923,119.8
2025-01-11T18:00+01:00,27751.38991,37343.55462,122.34
2025-01-11T19:00+01:00,26549.97954,36503.32742,114.85
2025-01-11T20:00+01:00,25987.46866,34914.97308,111.19
2025-01-11T21:00+01:00,26030.59785,33120.72938,104.8
2025-01-11T22:00+01:00,25788.85967,30342.28837,103.07
2025-01-11T23:00+01:00,25558.19477,27994.85322,105.69
2025-01-12T00:00+01:00,23807.2451,27861.90389,83.58
2025-01-12T01:00+01:00,23474.99074,26617.13496,83.79
2025-01-12T02:00+01:00,22797.56223,25882.59577,86.75
2025-01-12T03:00+01:00,22374.38937,26205.43628,84.2
2025-01-12T04:00+01:00,21579.9285,26445.99002,85
2025-01-12T05:00+01:00,21846.17989,26172.68774,83.75
2025-01-12T06:00+01:00,23297.946,24846.39334,85.9
2025-01-12T07:00+01:00,24811.2141,22786.85838,101.75
2025-01-12T08:00+01:00,25410.20457,21529.08463,114.67
2025-01-12T09:00+01:00,26260.82205,22673.24119,120.07
2025-01-12T10:00+01:00,26621.19816,25389.31498,117.77
2025-01-12T11:00+01:00,26728.69223,27818.76367,105.61
2025-01-12T12:00+01:00,26129.61715,28965.96259,102.99
2025-01-12T13:00+01:00,24837.78852,28746.59012,99.61
2025-01-12T14:00+01:00,25097.37569,25371.73743,104.74
2025-01-12T15:00+01:00,27405.60533,19306.52428,118.7
2025-01-12T16:00+01:00,29784.61142,15060.98196,132.92
2025-01-12T17:00+01:00,30835.45126,14807.41758,141
2025-01-12T18:00+01:00,31115.69871,14419.97718,146.66
2025-01-12T19:00+01:00,31232.9447,14116.65982,143.66
2025-01-12T20:00+01:00,31414.60825,12956.71141,134.86
2025-01-12T21:00+01:00,31138.16657,11491.22034,127.49
2025-01-12T22:00+01:00,29847.37266,10329.61418,121.2
2025-01-12T23:00+01:00,28569.13735,9288.880794,114.9
2025-01-13T00:00+01:00,27278.54842,8970.29111,112.39
2025-01-13T01:00+01:00,26741.77543,8973.474568,105.07
2025-01-13T02:00+01:00,26688.17176,9314.730665,104.46
2025-01-13T03:00+01:00,26655.85463,10205.7549,100.37
2025-01-13T04:00+01:00,26880.95912,11843.87256,100
2025-01-13T05:00+01:00,28642.77209,12924.9768,110.11
2025-01-13T06:00+01:00,33061.62656,13460.39563,140.28
2025-01-13T07:00+01:00,35512.15184,14580.98502,181.92
2025-01-13T08:00+01:00,36610.3549,16362.43891,223.09
2025-01-13T09:00+01:00,35886.8582,21482.3265,174.09
2025-01-13T10:00+01:00,34539.91589,28187.56279,141.69
2025-01-13T11:00+01:00,33292.70925,33405.76802,115.73
2025-01-13T12:00+01:00,32176.86158,35694.80228,104.1
2025-01-13T13:00+01:00,31673.66705,36135.23983,103.04
2025-01-13T14:00+01:00,32298.30761,33171.73542,104.67
2025-01-13T15:00+01:00,35435.148,26768.66867,138.2
2025-01-13T16:00+01:00,36535.77855,23420.99947,142.62
2025-01-13T17:00+01:00,37596.55303,24397.27747,149
2025-01-13T18:00+01:00,37700.64905,26349.05581,149
2025-01-13T19:00+01:00,36559.99438,27479.91168,139.73
2025-01-13T20:00+01:00,35289.07372,27311.44298,123.18
2025-01-13T21:00+01:00,33717.83879,28117.08039,120.22
2025-01-13T22:00+01:00,32105.84313,29242.23279,115.57
2025-01-13T23:00+01:00,29908.97665,30633.14,102.31
2025-01-14T00:00+01:00,28482.78931,30405.68934,106.38
2025-01-14T01:00+01:00,27454.53463,30606.62286,103.7
2025-01-14T02:00+01:00,27244.86531,30456.92668,99.08
2025-01-14T03:00+01:00,27393.47859,30634.57293,97.99
2025-01-14T04:00+01:00,28359.96742,30110.74435,101.88
2025-01-14T05:00+01:00,29704.45906,30024.12264,107.64
2025-01-14T06:00+01:00,33151.21652,31043.31497,123.4
2025-01-14T07:00+01:00,36037.08158,31439.32075,156.62
2025-01-14T08:00+01:00,36497.48969,33242.75755,184.03
2025-01-14T09:00+01:00,35916.78148,37303.686,151.86
2025-01-14T10:00+01:00,34748.66347,41497.13615,117.62
2025-01-14T11:00+01:00,34052.58874,43247.7904,109.31
2025-01-14T12:00+01:00,32813.93748,44663.7048,103.11
2025-01-14T13:00+01:00,32303.27904,43921.83924,108.11
2025-01-14T14:00+01:00,32997.39261,40992.02906,115.35
2025-01-14T15:00+01:00,35255.52511,36818.20206,125.35
2025-01-14T16:00+01:00,36412.80228,33191.04969,141.97
2025-01-14T17:00+01:00,37254.88438,33421.96942,165.86
2025-01-14T18:00+01:00,37361.52189,33169.62881,170.07
2025-01-14T19:00+01:00,37118.57849,32472.66561,158.38
2025-01-14T20:00+01:00,36105.64559,30699.32434,135.46
2025-01-14T21:00+01:00,35376.18124,29380.17139,117.69
2025-01-14T22:00+01:00,34911.7999,28094.11093,121
2025-01-14T23:00+01:00,33807.88938,26884.43799,121.76
2025-01-15T00:00+01:00,32956.58212,26666.67541,108.28
2025-01-15T01:00+01:00,32353.01243,26315.43761,107.72
2025-01-15T02:00+01:00,32240.70733,25141.21558,108.41
2025-01-15T03:00+01:00,32560.82137,23535.15742,108.04
2025-01-15T04:00+01:00,33008.27382,22119.98776,108.75
2025-01-15T05:00+01:00,33896.42895,20862.83397,114.92
2025-01-15T06:00+01:00,36493.07304,18377.93054,134.49
2025-01-15T07:00+01:00,39046.38596,16638.70208,191.79
2025-01-15T08:00+01:00,40529.46684,15630.24121,307.24
2025-01-15T09:00+01:00,40770.7373,15623.08266,315.02
2025-01-15T10:00+01:00,40796.39659,16086.18688,311.03
2025-01-15T11:00+01:00,40716.67318,16328.54366,304.8
2025-01-15T12:00+01:00,40385.50275,15906.68047,311.02
2025-01-15T13:00+01:00,40117.77423,15123.47433,309.34
2025-01-15T14:00+01:00,40362.39903,13343.44822,285.83
2025-01-15T15:00+01:00,40936.94685,11638.2906,301.74
2025-01-15T16:00+01:00,41196.46298,10727.59684,333.52
2025-01-15T17:00+01:00,41265.51981,10793.80124,377.99
2025-01-15T18:00+01:00,40559.27747,10705.19633,324.74
2025-01-15T19:00+01:00,39766.67067,10237.29449,270.09
2025-01-15T20:00+01:00,37824.01621,9932.557625,181.66
2025-01-15T21:00+01:00,36383.13177,9567.612405,150.87
2025-01-15T22:00+01:00,35582.81596,9829.447212,141.16
2025-01-15T23:00+01:00,33858.66024,10184.10968,123.9
2025-01-16T00:00+01:00,32731.01845,10422.78594,126.33
2025-01-16T01:00+01:00,32149.50383,10823.42706,119.12
2025-01-16T02:00+01:00,32638.34525,11276.45902,117.62
2025-01-16T03:00+01:00,32783.81213,11832.90932,115.03
2025-01-16T04:00+01:00,32886.39314,12653.20389,115.75
2025-01-16T05:00+01:00,33711.37992,13241.991,123.27
2025-01-16T06:00+01:00,34844.19872,14633.02127,138.7
2025-01-16T07:00+01:00,35678.90293,16546.29605,173.04
2025-01-16T08:00+01:00,36396.34898,18452.09552,199.65
2025-01-16T09:00+01:00,36191.59838,21101.87395,175
2025-01-16T10:00+01:00,35587.46924,24065.2016,151.9
2025-01-16T11:00+01:00,35221.91941,26706.16497,140.64
2025-01-16T12:00+01:00,34733.30454,27502.48009,131.13
2025-01-16T13:00+01:00,34573.97072,26357.64188,130.58
2025-01-16T14:00+01:00,34900.70233,23388.13062,138.42
